datetime,datetime_nano,KQ.m@SHFE.ss.open,KQ.m@SHFE.ss.high,KQ.m@SHFE.ss.low,KQ.m@SHFE.ss.close,KQ.m@SHFE.ss.volume,KQ.m@SHFE.ss.open_oi,KQ.m@SHFE.ss.close_oi
2019-09-25 00:00:00.000000000,1569340800000000000,15535.0,15760.0,15280.0,15575.0,93230,0,10679
2019-09-26 00:00:00.000000000,1569427200000000000,15600.0,15935.0,15550.0,15705.0,53364,10679,9684
2019-09-27 00:00:00.000000000,1569513600000000000,15740.0,15800.0,15580.0,15725.0,14167,9684,7952
2019-09-30 00:00:00.000000000,1569772800000000000,15705.0,15790.0,15635.0,15700.0,7757,7952,7295
2019-10-08 00:00:00.000000000,1570464000000000000,15765.0,15800.0,15545.0,15675.0,3700,7295,7307
2019-10-09 00:00:00.000000000,1570550400000000000,15660.0,15695.0,15630.0,15675.0,2449,7307,7250
2019-10-10 00:00:00.000000000,1570636800000000000,15705.0,15895.0,15600.0,15765.0,5783,7250,7643
2019-10-11 00:00:00.000000000,1570723200000000000,15780.0,15800.0,15705.0,15745.0,3957,7643,7327
2019-10-14 00:00:00.000000000,1570982400000000000,15760.0,15830.0,15735.0,15765.0,4921,7327,7387
2019-10-15 00:00:00.000000000,1571068800000000000,15735.0,15820.0,15165.0,15440.0,11535,7387,7385
2019-10-16 00:00:00.000000000,1571155200000000000,15450.0,15585.0,15405.0,15490.0,4900,7385,7031
2019-10-17 00:00:00.000000000,1571241600000000000,15495.0,15510.0,15115.0,15180.0,10988,7031,7433
2019-10-18 00:00:00.000000000,1571328000000000000,15155.0,15245.0,14790.0,15020.0,13475,7433,8084
2019-10-21 00:00:00.000000000,1571587200000000000,15150.0,15200.0,14680.0,14850.0,12463,8084,8806
2019-10-22 00:00:00.000000000,1571673600000000000,14870.0,14980.0,14770.0,14895.0,5152,8806,9094
2019-10-23 00:00:00.000000000,1571760000000000000,14885.0,15150.0,14840.0,14975.0,8766,9094,8653
2019-10-24 00:00:00.000000000,1571846400000000000,14960.0,15130.0,14940.0,15005.0,5898,8653,8500
2019-10-25 00:00:00.000000000,1571932800000000000,15070.0,15080.0,14815.0,14960.0,6797,8500,8562
2019-10-28 00:00:00.000000000,1572192000000000000,14915.0,15065.0,14855.0,15005.0,4796,8562,8201
2019-10-29 00:00:00.000000000,1572278400000000000,15040.0,15225.0,14965.0,15025.0,6973,8201,7953
2019-10-30 00:00:00.000000000,1572364800000000000,15020.0,15065.0,14965.0,15065.0,2732,7953,7869
2019-10-31 00:00:00.000000000,1572451200000000000,15100.0,15115.0,14925.0,14985.0,3306,7869,7992
2019-11-01 00:00:00.000000000,1572537600000000000,14915.0,15000.0,14850.0,15000.0,4185,7992,8115
2019-11-04 00:00:00.000000000,1572796800000000000,14975.0,15005.0,14950.0,14975.0,2316,8115,8083
2019-11-05 00:00:00.000000000,1572883200000000000,14965.0,15000.0,14875.0,14910.0,4086,8083,8152
2019-11-06 00:00:00.000000000,1572969600000000000,14935.0,14975.0,14865.0,14930.0,4074,8152,7982
2019-11-07 00:00:00.000000000,1573056000000000000,14935.0,14965.0,14850.0,14920.0,4067,7982,7679
2019-11-08 00:00:00.000000000,1573142400000000000,14910.0,14940.0,14775.0,14780.0,3960,7679,7522
2019-11-11 00:00:00.000000000,1573401600000000000,14765.0,14780.0,14200.0,14210.0,19583,7522,9674
2019-11-12 00:00:00.000000000,1573488000000000000,14200.0,14425.0,14170.0,14385.0,10780,9674,9852
2019-11-13 00:00:00.000000000,1573574400000000000,14350.0,14480.0,14250.0,14360.0,5763,9852,10191
2019-11-14 00:00:00.000000000,1573660800000000000,14345.0,14430.0,14270.0,14370.0,4621,10191,9868
2019-11-15 00:00:00.000000000,1573747200000000000,14370.0,14440.0,14200.0,14375.0,7340,9868,9774
2019-11-18 00:00:00.000000000,1574006400000000000,14380.0,14405.0,14115.0,14300.0,8986,9774,10079
2019-11-19 00:00:00.000000000,1574092800000000000,14300.0,14505.0,14205.0,14380.0,8602,10079,9460
2019-11-20 00:00:00.000000000,1574179200000000000,14360.0,14485.0,14335.0,14415.0,5624,9460,8945
2019-11-21 00:00:00.000000000,1574265600000000000,14380.0,14405.0,14260.0,14375.0,6027,8945,8402
2019-11-22 00:00:00.000000000,1574352000000000000,14420.0,14580.0,14315.0,14530.0,8678,8402,8393
2019-11-25 00:00:00.000000000,1574611200000000000,14540.0,14595.0,14455.0,14525.0,4035,8393,8431
2019-11-26 00:00:00.000000000,1574697600000000000,14535.0,14565.0,14355.0,14370.0,4936,8431,7688
2019-11-27 00:00:00.000000000,1574784000000000000,14380.0,14380.0,14185.0,14220.0,7074,7688,7915
2019-11-28 00:00:00.000000000,1574870400000000000,14210.0,14260.0,14095.0,14110.0,5331,7915,8581
2019-11-29 00:00:00.000000000,1574956800000000000,14060.0,14135.0,14000.0,14005.0,5209,8581,9179
2019-12-02 00:00:00.000000000,1575216000000000000,13965.0,14075.0,13905.0,13930.0,5254,9179,9453
2019-12-03 00:00:00.000000000,1575302400000000000,13945.0,14075.0,13925.0,14020.0,3230,9453,9059
2019-12-04 00:00:00.000000000,1575388800000000000,14035.0,14095.0,13835.0,13850.0,7015,9059,10030
2019-12-05 00:00:00.000000000,1575475200000000000,13855.0,13980.0,13765.0,13880.0,8846,10030,10532
2019-12-06 00:00:00.000000000,1575561600000000000,13865.0,14015.0,13850.0,13950.0,8896,10532,10449
2019-12-09 00:00:00.000000000,1575820800000000000,13925.0,14130.0,13785.0,13935.0,8945,10449,10036
2019-12-10 00:00:00.000000000,1575907200000000000,13925.0,14030.0,13860.0,13985.0,3852,10036,10051
2019-12-11 00:00:00.000000000,1575993600000000000,13955.0,14280.0,13940.0,14200.0,11986,10051,9508
2019-12-12 00:00:00.000000000,1576080000000000000,14230.0,14395.0,14200.0,14235.0,12669,9508,9908
2019-12-13 00:00:00.000000000,1576166400000000000,14255.0,14295.0,14115.0,14275.0,5221,9908,9619
2019-12-16 00:00:00.000000000,1576425600000000000,14295.0,14375.0,14190.0,14255.0,6032,9619,8913
2019-12-17 00:00:00.000000000,1576512000000000000,14260.0,14325.0,14220.0,14300.0,2832,8913,9162
2019-12-18 00:00:00.000000000,1576598400000000000,14300.0,14345.0,14230.0,14295.0,3983,9162,8909
2019-12-19 00:00:00.000000000,1576684800000000000,14280.0,14395.0,14255.0,14395.0,4442,8909,8746
2019-12-20 00:00:00.000000000,1576771200000000000,14385.0,14430.0,14310.0,14340.0,5740,8746,8602
2019-12-23 00:00:00.000000000,1577030400000000000,14360.0,14470.0,14330.0,14440.0,4714,8602,8316
2019-12-24 00:00:00.000000000,1577116800000000000,14465.0,14480.0,14235.0,14310.0,5876,8316,7768
2019-12-25 00:00:00.000000000,1577203200000000000,14290.0,14330.0,14240.0,14240.0,3001,7768,7508
2019-12-26 00:00:00.000000000,1577289600000000000,14245.0,14290.0,14240.0,14270.0,1342,7508,7278
2019-12-27 00:00:00.000000000,1577376000000000000,14265.0,14320.0,14070.0,14240.0,2669,7278,6867
2019-12-30 00:00:00.000000000,1577635200000000000,14080.0,14185.0,14080.0,14160.0,6797,6867,8636
2019-12-31 00:00:00.000000000,1577721600000000000,14215.0,14860.0,14175.0,14410.0,10657,8636,13466
2020-01-02 00:00:00.000000000,1577894400000000000,14380.0,14400.0,13795.0,13805.0,11870,13466,18913
2020-01-03 00:00:00.000000000,1577980800000000000,13875.0,13935.0,13745.0,13750.0,20523,18913,24842
2020-01-06 00:00:00.000000000,1578240000000000000,13740.0,13975.0,13730.0,13895.0,19663,24842,26890
2020-01-07 00:00:00.000000000,1578326400000000000,13895.0,13965.0,13850.0,13930.0,9076,26890,27746
2020-01-08 00:00:00.000000000,1578412800000000000,13955.0,14100.0,13905.0,13965.0,13979,27746,28725
2020-01-09 00:00:00.000000000,1578499200000000000,13955.0,14065.0,13925.0,13950.0,16522,28725,31420
