datetime,datetime_nano,KQ.m@DCE.eg.open,KQ.m@DCE.eg.high,KQ.m@DCE.eg.low,KQ.m@DCE.eg.close,KQ.m@DCE.eg.volume,KQ.m@DCE.eg.open_oi,KQ.m@DCE.eg.close_oi
2018-12-10 09:00:00.000000000,1544403600000000000,5591.0,5709.0,5550.0,5691.0,88750,0,23741
2018-12-10 09:20:00.000000000,1544404800000000000,5691.0,5781.0,5676.0,5708.0,76126,23741,35072
2018-12-10 09:40:00.000000000,1544406000000000000,5708.0,5750.0,5688.0,5704.0,33481,35072,36010
2018-12-10 10:00:00.000000000,1544407200000000000,5704.0,5718.0,5651.0,5658.0,32204,36010,38099
2018-12-10 10:20:00.000000000,1544408400000000000,5658.0,5703.0,5656.0,5667.0,12937,38099,37907
2018-12-10 10:40:00.000000000,1544409600000000000,5667.0,5709.0,5663.0,5690.0,18696,37907,39564
2018-12-10 11:00:00.000000000,1544410800000000000,5690.0,5700.0,5670.0,5679.0,10027,39564,39765
2018-12-10 11:20:00.000000000,1544412000000000000,5679.0,5697.0,5668.0,5680.0,6818,39765,38789
2018-12-10 13:20:00.000000000,1544419200000000000,5680.0,5685.0,5666.0,5679.0,5958,38789,39345
2018-12-10 13:40:00.000000000,1544420400000000000,5679.0,5707.0,5675.0,5690.0,9703,39345,39568
2018-12-10 14:00:00.000000000,1544421600000000000,5690.0,5722.0,5683.0,5711.0,15747,39568,39368
2018-12-10 14:20:00.000000000,1544422800000000000,5711.0,5714.0,5676.0,5691.0,13334,39368,38703
2018-12-10 14:40:00.000000000,1544424000000000000,5691.0,5705.0,5664.0,5674.0,13557,38703,34763
2018-12-11 09:00:00.000000000,1544490000000000000,5611.0,5680.0,5593.0,5638.0,29154,34763,35989
2018-12-11 09:20:00.000000000,1544491200000000000,5638.0,5654.0,5633.0,5646.0,7345,35989,36422
2018-12-11 09:40:00.000000000,1544492400000000000,5646.0,5657.0,5637.0,5643.0,6402,36422,36876
2018-12-11 10:00:00.000000000,1544493600000000000,5643.0,5663.0,5642.0,5662.0,4134,36876,36823
2018-12-11 10:20:00.000000000,1544494800000000000,5662.0,5662.0,5650.0,5655.0,1865,36823,36794
2018-12-11 10:40:00.000000000,1544496000000000000,5655.0,5661.0,5643.0,5654.0,4581,36794,36898
2018-12-11 11:00:00.000000000,1544497200000000000,5654.0,5659.0,5647.0,5651.0,2576,36898,37054
2018-12-11 11:20:00.000000000,1544498400000000000,5651.0,5653.0,5604.0,5610.0,17587,37054,38418
2018-12-11 13:20:00.000000000,1544505600000000000,5610.0,5611.0,5552.0,5558.0,25452,38418,40236
2018-12-11 13:40:00.000000000,1544506800000000000,5558.0,5562.0,5520.0,5526.0,47770,40236,43962
2018-12-11 14:00:00.000000000,1544508000000000000,5526.0,5550.0,5497.0,5506.0,41419,43962,46392
2018-12-11 14:20:00.000000000,1544509200000000000,5506.0,5528.0,5497.0,5504.0,24090,46392,46736
2018-12-11 14:40:00.000000000,1544510400000000000,5504.0,5546.0,5503.0,5541.0,28602,46736,41561
2018-12-12 09:00:00.000000000,1544576400000000000,5580.0,5595.0,5538.0,5564.0,27469,41561,45567
2018-12-12 09:20:00.000000000,1544577600000000000,5564.0,5598.0,5555.0,5578.0,19735,45567,45759
2018-12-12 09:40:00.000000000,1544578800000000000,5578.0,5590.0,5576.0,5582.0,7977,45759,45661
2018-12-12 10:00:00.000000000,1544580000000000000,5582.0,5585.0,5562.0,5568.0,7037,45661,45603
2018-12-12 10:20:00.000000000,1544581200000000000,5569.0,5569.0,5531.0,5536.0,11210,45603,46480
2018-12-12 10:40:00.000000000,1544582400000000000,5536.0,5552.0,5533.0,5551.0,8837,46480,46505
2018-12-12 11:00:00.000000000,1544583600000000000,5551.0,5556.0,5513.0,5524.0,23589,46505,46957
2018-12-12 11:20:00.000000000,1544584800000000000,5524.0,5532.0,5520.0,5531.0,3762,46957,46524
2018-12-12 13:20:00.000000000,1544592000000000000,5533.0,5543.0,5533.0,5535.0,5569,46524,45992
2018-12-12 13:40:00.000000000,1544593200000000000,5535.0,5548.0,5535.0,5540.0,5797,45992,45930
2018-12-12 14:00:00.000000000,1544594400000000000,5540.0,5555.0,5525.0,5545.0,12018,45930,46650
