datetime,datetime_nano,KQ.m@DCE.eg.open,KQ.m@DCE.eg.high,KQ.m@DCE.eg.low,KQ.m@DCE.eg.close,KQ.m@DCE.eg.volume,KQ.m@DCE.eg.open_oi,KQ.m@DCE.eg.close_oi
2018-12-10 09:00:00.000000000,1544403600000000000,5591.0,5707.0,5550.0,5686.0,66141,0,19170
2018-12-10 09:10:00.000000000,1544404200000000000,5686.0,5709.0,5664.0,5691.0,22609,19170,23741
2018-12-10 09:20:00.000000000,1544404800000000000,5691.0,5774.0,5688.0,5766.0,40907,23741,32897
2018-12-10 09:30:00.000000000,1544405400000000000,5766.0,5781.0,5676.0,5708.0,35219,32897,35072
2018-12-10 09:40:00.000000000,1544406000000000000,5708.0,5750.0,5703.0,5709.0,19878,35072,36212
2018-12-10 09:50:00.000000000,1544406600000000000,5709.0,5742.0,5688.0,5704.0,13603,36212,36010
2018-12-10 10:00:00.000000000,1544407200000000000,5704.0,5718.0,5651.0,5682.0,27292,36010,38339
2018-12-10 10:10:00.000000000,1544407800000000000,5682.0,5693.0,5651.0,5658.0,4912,38339,38099
2018-12-10 10:30:00.000000000,1544409000000000000,5658.0,5703.0,5656.0,5667.0,12937,38099,37907
2018-12-10 10:40:00.000000000,1544409600000000000,5667.0,5709.0,5666.0,5686.0,10348,37907,38146
2018-12-10 10:50:00.000000000,1544410200000000000,5686.0,5690.0,5663.0,5690.0,8348,38146,39564
2018-12-10 11:00:00.000000000,1544410800000000000,5690.0,5700.0,5679.0,5684.0,5083,39564,39278
2018-12-10 11:10:00.000000000,1544411400000000000,5684.0,5686.0,5670.0,5679.0,4944,39278,39765
2018-12-10 11:20:00.000000000,1544412000000000000,5679.0,5697.0,5668.0,5680.0,6818,39765,38789
2018-12-10 13:30:00.000000000,1544419800000000000,5680.0,5685.0,5666.0,5679.0,5958,38789,39345
2018-12-10 13:40:00.000000000,1544420400000000000,5679.0,5694.0,5675.0,5686.0,3809,39345,39434
2018-12-10 13:50:00.000000000,1544421000000000000,5686.0,5707.0,5678.0,5690.0,5894,39434,39568
2018-12-10 14:00:00.000000000,1544421600000000000,5690.0,5702.0,5683.0,5697.0,3865,39568,39563
2018-12-10 14:10:00.000000000,1544422200000000000,5697.0,5722.0,5694.0,5711.0,11882,39563,39368
2018-12-10 14:20:00.000000000,1544422800000000000,5711.0,5714.0,5676.0,5693.0,9384,39368,38800
2018-12-10 14:30:00.000000000,1544423400000000000,5693.0,5704.0,5687.0,5691.0,3950,38800,38703
2018-12-10 14:40:00.000000000,1544424000000000000,5691.0,5705.0,5682.0,5690.0,5072,38703,37910
2018-12-10 14:50:00.000000000,1544424600000000000,5690.0,5700.0,5664.0,5674.0,8485,37910,34763
2018-12-11 09:00:00.000000000,1544490000000000000,5611.0,5680.0,5593.0,5663.0,21427,34763,35632
2018-12-11 09:10:00.000000000,1544490600000000000,5663.0,5667.0,5631.0,5638.0,7727,35632,35989
2018-12-11 09:20:00.000000000,1544491200000000000,5638.0,5647.0,5633.0,5642.0,4691,35989,36495
2018-12-11 09:30:00.000000000,1544491800000000000,5642.0,5654.0,5642.0,5646.0,2654,36495,36422
2018-12-11 09:40:00.000000000,1544492400000000000,5646.0,5657.0,5637.0,5637.0,3777,36422,36727
2018-12-11 09:50:00.000000000,1544493000000000000,5637.0,5649.0,5637.0,5643.0,2625,36727,36876
2018-12-11 10:00:00.000000000,1544493600000000000,5643.0,5656.0,5642.0,5654.0,2118,36876,37025
2018-12-11 10:10:00.000000000,1544494200000000000,5654.0,5663.0,5651.0,5662.0,2016,37025,36823
2018-12-11 10:30:00.000000000,1544495400000000000,5662.0,5662.0,5650.0,5655.0,1865,36823,36794
2018-12-11 10:40:00.000000000,1544496000000000000,5655.0,5661.0,5644.0,5644.0,3376,36794,36802
2018-12-11 10:50:00.000000000,1544496600000000000,5644.0,5656.0,5643.0,5654.0,1205,36802,36898
2018-12-11 11:00:00.000000000,1544497200000000000,5654.0,5659.0,5651.0,5655.0,1167,36898,37066
2018-12-11 11:10:00.000000000,1544497800000000000,5655.0,5658.0,5647.0,5651.0,1409,37066,37054
2018-12-11 11:20:00.000000000,1544498400000000000,5651.0,5653.0,5604.0,5610.0,17587,37054,38418
2018-12-11 13:30:00.000000000,1544506200000000000,5610.0,5611.0,5552.0,5558.0,25452,38418,40236
2018-12-11 13:40:00.000000000,1544506800000000000,5558.0,5562.0,5520.0,5545.0,37129,40236,42909
2018-12-11 13:50:00.000000000,1544507400000000000,5545.0,5550.0,5523.0,5526.0,10641,42909,43962
2018-12-11 14:00:00.000000000,1544508000000000000,5526.0,5550.0,5511.0,5527.0,20215,43962,44594
2018-12-11 14:10:00.000000000,1544508600000000000,5527.0,5530.0,5497.0,5506.0,21204,44594,46392
2018-12-11 14:20:00.000000000,1544509200000000000,5506.0,5527.0,5497.0,5519.0,13881,46392,46262
2018-12-11 14:30:00.000000000,1544509800000000000,5519.0,5528.0,5502.0,5504.0,10209,46262,46736
2018-12-11 14:40:00.000000000,1544510400000000000,5504.0,5544.0,5503.0,5524.0,16382,46736,44824
2018-12-11 14:50:00.000000000,1544511000000000000,5524.0,5546.0,5524.0,5541.0,12220,44824,41561
2018-12-12 09:00:00.000000000,1544576400000000000,5580.0,5595.0,5538.0,5541.0,17310,41561,44771
2018-12-12 09:10:00.000000000,1544577000000000000,5541.0,5566.0,5539.0,5564.0,10159,44771,45567
2018-12-12 09:20:00.000000000,1544577600000000000,5564.0,5598.0,5555.0,5587.0,12158,45567,45391
