datetime,datetime_nano,KQ.m@DCE.eg.open,KQ.m@DCE.eg.high,KQ.m@DCE.eg.low,KQ.m@DCE.eg.close,KQ.m@DCE.eg.volume,KQ.m@DCE.eg.open_oi,KQ.m@DCE.eg.close_oi
2018-12-10 08:00:00.000000000,1544400000000000000,5591.0,5781.0,5550.0,5704.0,198357,0,36010
2018-12-10 10:00:00.000000000,1544407200000000000,5704.0,5718.0,5651.0,5680.0,80682,36010,38789
2018-12-10 12:00:00.000000000,1544414400000000000,5680.0,5707.0,5666.0,5690.0,15661,38789,39568
2018-12-10 14:00:00.000000000,1544421600000000000,5690.0,5722.0,5664.0,5674.0,42638,39568,34763
2018-12-11 08:00:00.000000000,1544486400000000000,5611.0,5680.0,5593.0,5643.0,42901,34763,36876
2018-12-11 10:00:00.000000000,1544493600000000000,5643.0,5663.0,5604.0,5610.0,30743,36876,38418
2018-12-11 12:00:00.000000000,1544500800000000000,5610.0,5611.0,5520.0,5526.0,73222,38418,43962
2018-12-11 14:00:00.000000000,1544508000000000000,5526.0,5550.0,5497.0,5541.0,94111,43962,41561
2018-12-12 08:00:00.000000000,1544572800000000000,5580.0,5598.0,5538.0,5582.0,55181,41561,45661
2018-12-12 10:00:00.000000000,1544580000000000000,5582.0,5585.0,5513.0,5531.0,54435,45661,46524
2018-12-12 12:00:00.000000000,1544587200000000000,5533.0,5548.0,5533.0,5540.0,11366,46524,45930
2018-12-12 14:00:00.000000000,1544594400000000000,5540.0,5556.0,5525.0,5544.0,30011,45930,44256
2018-12-13 08:00:00.000000000,1544659200000000000,5520.0,5562.0,5475.0,5549.0,69925,44256,49654
2018-12-13 10:00:00.000000000,1544666400000000000,5549.0,5646.0,5544.0,5611.0,57523,49654,47051
2018-12-13 12:00:00.000000000,1544673600000000000,5610.0,5621.0,5601.0,5613.0,15252,47051,48081
2018-12-13 14:00:00.000000000,1544680800000000000,5613.0,5613.0,5564.0,5591.0,35762,48081,44994
2018-12-14 08:00:00.000000000,1544745600000000000,5641.0,5666.0,5604.0,5641.0,42044,44994,49305
2018-12-14 10:00:00.000000000,1544752800000000000,5641.0,5644.0,5592.0,5606.0,24549,49305,49060
2018-12-14 12:00:00.000000000,1544760000000000000,5607.0,5614.0,5583.0,5596.0,8953,49060,50125
2018-12-14 14:00:00.000000000,1544767200000000000,5596.0,5628.0,5587.0,5606.0,18386,50125,46865
2018-12-17 08:00:00.000000000,1545004800000000000,5592.0,5628.0,5566.0,5603.0,24703,46865,48118
